abelone;f;danish;0
aksel;m;danish, norwegian;0
alvilda;f;danish;0
ane;f;danish;0.19
annelise;f;danish;0
aslaug;f;norwegian, danish;0
bendt;m;danish;0
benedikte;f;danish, norwegian;0
bent;m;danish;0.06
bente;f;danish;0
bine;f;danish;0
bo (1);m;swedish, danish;0
christa;f;german, danish, english;0.03
christer;m;swedish, danish;0
dagfinn;m;norwegian, danish;0
dorete;f;danish;0
else;f;danish, norwegian, german;0.16
eluf;m;danish;0
erland;m;swedish, danish;0.03
erlend;m;norwegian, danish;0.89
flemming;m;danish;0.19
frederik;m;danish;0.03
frederikke;f;danish;0
frode;m;danish, norwegian;0
gregers;m;danish, norwegian;0
grete;f;german, danish;0
grethe;f;danish, norwegian;0
hagen;m;danish;0.06
haldor;m;danish, norwegian;0
halldor;m;danish, norwegian;0
halvor;m;norwegian, danish;0
hege;f;norwegian, danish;0
henning;m;german, danish, norwegian;0
hillevi;f;danish;0
ib;m;danish;0.19
jacobine;f;norwegian, danish, dutch;0.73
janne (2);f;danish, norwegian;0
jannick;m;danish;0
jens;m;danish;0
jesper;m;danish;0
johanne;f;danish, norwegian;0
jokum;m;danish;0
jonna;f;danish, swedish;0
jorck;m;danish;0
jytte;f;danish;0
kaj;m;danish;0
karen;f;danish, norwegian, english;0.19
karoline;f;german, danish, norwegian;0
katrine;f;german, danish, dutch, polish;0
keld;m;danish;0
kiersten;f;danish, english;0
kjeld;m;danish;0
klemens;m;german, danish, swedish, polish;0.06
knud;m;danish;0.06
kresten;m;danish;0
kristen (1);m;danish;0
kristine;f;danish, norwegian;0
laurits;m;danish;0
lauritz;m;danish;0
lone;f;danish;0.13
lovise;f;danish, norwegian;0
mads;m;danish;0
magdalone;f;danish;0
malene;f;danish;0
margarethe;f;german, danish;0
margrethe;f;german, danish, norwegian;0.03
marius;m;ancient roman, german, dutch, norwegian, danish, french, english, romanian;0.92
merete;f;danish;0
mette;f;danish;8.67
mia;f;danish, swedish;0.29
mogens;m;danish;0.03
morten;m;danish;0
niels (1);m;danish;0
olaf;m;norwegian, danish;1.08
olav;m;norwegian, danish;0
ole;m;danish, norwegian;0.13
peder;m;danish, norwegian;0
pernille;f;danish;0
poul;m;danish;0.06
preben;m;danish;0
rebekka;f;german, danish, norwegian;0
rikke;f;danish;0
silje;f;norwegian, danish;0
sofie;f;german, danish, dutch;0
solvej;f;danish;0
steen;m;danish;0
thorstein;m;swedish, danish;0
torben;m;danish;0
tordis;f;norwegian, danish;0.10
torgeir;m;norwegian, danish;0
torger;m;norwegian, danish;0
torsten;m;swedish, danish;0.03
trine;f;danish;0.03
tue;m;danish;19.94
tyge;m;danish;0
ulf;m;danish, swedish;0
ulrike;f;german, danish;0.03
urban;m;english, danish, swedish, polish, czech;0.16
vibeke;f;danish, norwegian;0
vilfred;m;danish;0
vincent;m;english, french, dutch, danish, swedish;21.63
virginia;f;english, italian, spanish, portuguese, danish, swedish, romanian, ancient roman;3.03
vita;f;english, danish, ancient roman;1.02
yngvar;m;danish, norwegian;0
